"givenname","sp1","sp2","sp3","latbi"
"Aster foliaceus (Symphyotrichum foliaceum)","Aster foliaceus (Symphyotrichum foliaceum)","Aster foliaceus (Symphyotrichum foliaceum)","Aster foliaceus (Symphyotrichum foliaceum)","Aster foliaceus (Symphyotrichum foliaceum) Aster foliaceus (Symphyotrichum foliaceum) Aster foliaceus (Symphyotrichum foliaceum)"
"Paxistima myrsinites","Paxistima","myrsinites","","Paxistima myrsinites "
"Mertensia brevistyla","Mertensia","brevistyla","","Mertensia brevistyla "
"Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side","Festuca (?) - reddish, no awn, edge of N side Festuca (?) - reddish, no awn, edge of N side Festuca (?) - reddish, no awn, edge of N side"
"Castilleja linariifolia","Castilleja","linariifolia","","Castilleja linariifolia "
"Carex sp. (nigricans? - black perigynia)","Carex sp. (nigricans? - black perigynia)","Carex sp. (nigricans? - black perigynia)","Carex sp. (nigricans? - black perigynia)","Carex sp. (nigricans? - black perigynia) Carex sp. (nigricans? - black perigynia) Carex sp. (nigricans? - black perigynia)"
"Dasiphora (Potentilla) fruticosa","Dasiphora","(Potentilla)","fruticosa","Dasiphora (Potentilla) fruticosa"
"Oxytropis deflexa","Oxytropis","deflexa","","Oxytropis deflexa "
"Ligularia","Ligularia","","","Ligularia  "
"Veratrum","Veratrum","","","Veratrum  "
"Sidalcea candida","Sidalcea","candida","","Sidalcea candida "
"Campanula","Campanula","","","Campanula  "
"Carex illota??  Microptera??","Carex","illota??","Microptera??","Carex illota?? Microptera??"
"Descurainea","Descurainea","","","Descurainea  "
"Erysimum capitata","Erysimum","capitata","","Erysimum capitata "
"Heracleum","Heracleum","","","Heracleum  "
"Poa sp.?","Poa","sp.?","","Poa sp.? "
"Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW)","Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW) Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW) Dasiphora (Potentilla pentaphylloides) fruticosa (plant just outside plot to NW)"
"Erigeron - white","Erigeron","-","white","Erigeron - white"
"Maianthemum stellatum","Maianthemum","stellatum","","Maianthemum stellatum "
"Poa (arctica? - very tall)","Poa (arctica? - very tall)","Poa (arctica? - very tall)","Poa (arctica? - very tall)","Poa (arctica? - very tall) Poa (arctica? - very tall) Poa (arctica? - very tall)"
"Erysimum","Erysimum","","","Erysimum  "
"Festuca","Festuca","","","Festuca  "
"Lupinus sp. (smaller flowers than argenteus, darker color)","Lupinus sp. (smaller flowers than argenteus, darker color)","Lupinus sp. (smaller flowers than argenteus, darker color)","Lupinus sp. (smaller flowers than argenteus, darker color)","Lupinus sp. (smaller flowers than argenteus, darker color) Lupinus sp. (smaller flowers than argenteus, darker color) Lupinus sp. (smaller flowers than argenteus, darker color)"
"Carex (big brown head) ","Carex (big brown head) ","Carex (big brown head) ","Carex (big brown head) ","Carex (big brown head)  Carex (big brown head)  Carex (big brown head) "
"Cirsium eatonii(?)","Cirsium","eatonii(?)","","Cirsium eatonii(?) "
"Festuca pratensis? - bunch grass","Festuca pratensis? - bunch grass","Festuca pratensis? - bunch grass","Festuca pratensis? - bunch grass","Festuca pratensis? - bunch grass Festuca pratensis? - bunch grass Festuca pratensis? - bunch grass"
"Calochortus gunnisonni","Calochortus","gunnisonni","","Calochortus gunnisonni "
"Calochortus ","Calochortus","","","Calochortus  "
"Frasera speciosa - 3 short stalks, maybe on same root","Frasera speciosa - 3 short stalks, maybe on same root","Frasera speciosa - 3 short stalks, maybe on same root","Frasera speciosa - 3 short stalks, maybe on same root","Frasera speciosa - 3 short stalks, maybe on same root Frasera speciosa - 3 short stalks, maybe on same root Frasera speciosa - 3 short stalks, maybe on same root"
"grass - Trisetum? ","grass","-","Trisetum?","grass - Trisetum?"
"Dugaldia","Dugaldia","","","Dugaldia  "
"Salix wolfii","Salix","wolfii","","Salix wolfii "
"Campanula rotundifoolia","Campanula","rotundifoolia","","Campanula rotundifoolia "
"Cirsium (eatonii?)","Cirsium","(eatonii?)","","Cirsium (eatonii?) "
"Carex - like Int1","Carex - like Int1","Carex - like Int1","Carex - like Int1","Carex - like Int1 Carex - like Int1 Carex - like Int1"
"""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats""","""droopy grass - oats"" ""droopy grass - oats"" ""droopy grass - oats"""
"Salix planifolia","Salix","planifolia","","Salix planifolia "
"Festuca pratensis - bunch grass","Festuca pratensis - bunch grass","Festuca pratensis - bunch grass","Festuca pratensis - bunch grass","Festuca pratensis - bunch grass Festuca pratensis - bunch grass Festuca pratensis - bunch grass"
"Koeleria macrantha","Koeleria","macrantha","","Koeleria macrantha "
"Erythrocoma triflora.1","Erythrocoma","triflora.1","","Erythrocoma triflora.1 "
"Polygonum viviparum","Polygonum","viviparum","","Polygonum viviparum "
"Viola adunca, by path just below alders by Treasury","Viola adunca, by path just below alders by Treasury","Viola adunca, by path just below alders by Treasury","Viola adunca, by path just below alders by Treasury","Viola adunca, by path just below alders by Treasury Viola adunca, by path just below alders by Treasury Viola adunca, by path just below alders by Treasury"
"Thlaspi arvense","Thlaspi","arvense","","Thlaspi arvense "
"Mertensia ciliata.1","Mertensia","ciliata.1","","Mertensia ciliata.1 "
"Agoseris aurantiaca.1","Agoseris","aurantiaca.1","","Agoseris aurantiaca.1 "
"Brompsis pumpelliana","Brompsis","pumpelliana","","Brompsis pumpelliana "
"Bromopsis pumpelliana (Bromus inermis var. pumpellianus)","Bromopsis pumpelliana (Bromus inermis var. pumpellianus)","Bromopsis pumpelliana (Bromus inermis var. pumpellianus)","Bromopsis pumpelliana (Bromus inermis var. pumpellianus)","Bromopsis pumpelliana (Bromus inermis var. pumpellianus) Bromopsis pumpelliana (Bromus inermis var. pumpellianus) Bromopsis pumpelliana (Bromus inermis var. pumpellianus)"
"Moehringia lateriflora","Moehringia","lateriflora","","Moehringia lateriflora "
"Bromopsis pumpelliana (Bromus inermis var. pumpellianus","Bromopsis pumpelliana (Bromus inermis var. pumpellianus","Bromopsis pumpelliana (Bromus inermis var. pumpellianus","Bromopsis pumpelliana (Bromus inermis var. pumpellianus","Bromopsis pumpelliana (Bromus inermis var. pumpellianus Bromopsis pumpelliana (Bromus inermis var. pumpellianus Bromopsis pumpelliana (Bromus inermis var. pumpellianus"
"Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009","Poa tracyi - ID by Jennifer Rudgers, July 2009 Poa tracyi - ID by Jennifer Rudgers, July 2009 Poa tracyi - ID by Jennifer Rudgers, July 2009"
"Descurainea incana (richardsonii)","Descurainea","incana","(richardsonii)","Descurainea incana (richardsonii)"
